params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",62.01422099999945,100,-0.018600442543961114,-0.018702237560519995,-0.026490066225165563,-0.013742331288343557,0.0016665081849904012
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",73.25401500000044,100,-0.018699186560129533,-0.01863424199839394,-0.021004098360655737,-0.013461538461538459,0.0012749641316761344
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",72.87740900000063,100,-0.021889765031673666,-0.02,-0.03781818181818182,-0.02,0.003409714306959115
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",66.95946600000025,100,-0.02153204185050883,-0.02051851851851852,-0.034848484848484844,-0.02,0.002458036517157378
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",72.39348599999994,100,-0.02039393802377279,-0.02,-0.02538461538461538,-0.02,0.0009159416652612052
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",62.28687499999978,100,-0.020030296731518092,-0.02,-0.023052959501557627,-0.017964071856287425,0.0006813395210430705
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",61.261453000000074,100,-0.019974662301010648,-0.02,-0.021940594059405943,-0.017228260869565214,0.0005038908860442482
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",63.290813000000526,100,-0.019204110884543782,-0.018625296976830356,-0.024780487804878047,-0.013664596273291923,0.0022956427788035903
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",71.54667800000061,100,-0.019997639875191094,-0.02,-0.028521739130434782,-0.016482758620689653,0.0017784701925389586
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",61.74463899999955,100,-0.019029760166013293,-0.01892679476365375,-0.022677595628415297,-0.014204545454545452,0.0015805033288372118
